Stadium;Date;Event;Race;Distance;Rank;Nr;Name;Country;Pair;Lane;Time;Behind;Gender;SeasonalBest;EstimatedTFM;EstimatedTFMBuffer
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;17.0;260;Kako_Yamane;JPN;1;I;1:17.877;2.908;Women;;0;60
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;18.0;276;Carina_Jagtøyen;NOR;4;I;1:17.910;2.941;Women;;495;555
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;19.0;288;Vera_Güntert;SUI;3;I;1:18.664;3.695;Women;;330;390
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;20.0;235;Laura_Kivioja;FIN;2;O;1:19.042;4.073;Women;;165;225
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;21.0;233;Sara_Cabrera;ESP;2;I;1:19.501;4.532;Women;;165;225
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Women_Division_B;1000;22.0;201;Maria Victoria_Rodriguez;ARG;1;O;1:19.935;4.966;Women;;0;60
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;1.0;108;Marek_Kania;POL;14;I;1:07.849;0.000;Men;;2145;2205
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;2.0;109;Piotr_Michalski;POL;12;I;1:07.992;0.143;Men;;1815;1875
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;3.0;72;Kazuya_Yamada;JPN;10;I;1:08.221;0.372;Men;;1485;1545
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;4.0;86;Tijmen_Snel;NED;15;I;1:08.334;0.485;Men;;2310;2370
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;5.0;37;Nil_Llop_Izquierdo;ESP;8;I;1:08.423;0.574;Men;;1155;1215
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;6.0;126;Conor_McDermott-Mostowy;USA;9;I;1:08.446;0.597;Men;;1320;1380
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;7.0;17;David_La_Rue;CAN;10;O;1:08.679;0.830;Men;;1485;1545
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;8.0;57;Daniele_Di_Stefano;ITA;9;O;1:08.790;0.941;Men;;1320;1380
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;9.0;74;Hyun-Jun_Ahn;KOR;3;O;1:08.939;1.090;Men;;330;390
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;10.0;16;Anders_Johnson;CAN;14;O;1:09.005;1.156;Men;;2145;2205
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;11.0;125;Emery_Lehman;USA;3;I;1:09.184;1.335;Men;;330;390
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;12.0;2;Gabriel_Odor;AUT;11;O;1:09.408;1.559;Men;;1650;1710
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;13.0;46;Valentin_Thiebault;FRA;7;I;1:09.414;1.565;Men;;990;1050
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;14.0;100;Bjørn_Magnussen;NOR;12;O;1:09.446;1.597;Men;;1815;1875
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;15.0;55;Francesco_Betti;ITA;6;O;1:09.549;1.700;Men;;825;885
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;16.0;102;Henrik Fagerli_Rukke;NOR;7;O;1:09.552;1.703;Men;;990;1050
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;17.0;22;Haonan_Du;CHN;8;O;1:09.715;1.866;Men;;1155;1215
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;18.0;107;Marcin_Bachanek;POL;5;I;1:09.755;1.906;Men;;660;720
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;19.0;64;Issa_Gunji;JPN;11;I;1:09.816;1.967;Men;;1650;1710
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;20.0;97;Allan Dahl_Johansson;NOR;13;I;1:09.821;1.972;Men;;1980;2040
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;21.0;75;Seonghyeon_Park;KOR;2;I;1:10.073;2.224;Men;;165;225
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;22.0;38;Daniel_Milagros;ESP;5;O;1:10.550;2.701;Men;;660;720
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;23.0;73;Masaya_Yamada;JPN;15;O;1:10.587;2.738;Men;;2310;2370
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;24.0;21;Zhihan_Deng;CHN;13;O;1:10.713;2.864;Men;;1980;2040
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;25.0;42;Tuukka_Suomalainen;FIN;4;O;1:10.913;3.064;Men;;495;555
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;26.0;115;Oliver_Grob;SUI;4;I;1:11.181;3.332;Men;;495;555
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;27.0;101;Cristian Landrø_Magnussen;NOR;2;O;1:11.375;3.526;Men;;165;225
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;28.0;106;Josh_Whyte;NZL;1;I;1:13.266;5.417;Men;;0;60
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;1000m_Men_Division_B;1000;29.0;28;Xianghe_Quan;CHN;6;I;1:36.517;28.668;Men;;825;885
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;1.0;248;Francesca_Lollobrigida;ITA;5;I;3:54.736;0.000;Women;;1320;1380
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;2.0;280;Ragne_Wiklund;NOR;7;I;3:54.864;0.128;Women;;1980;2040
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;3.0;262;Joy_Beune;NED;7;O;3:55.865;1.129;Women;;1980;2040
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;4.0;229;Martina_Sáblíková;CZE;6;I;3:57.459;2.723;Women;;1650;1710
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;5.0;267;Marijke_Groenewoud;NED;5;O;3:58.092;3.356;Women;;1320;1380
